umbrella,gene,subtype,label,clinical_classification,clinical_dx_code,,,,,,,,,
MY,MYH7,DMY,"Distal Myopathy 1, Laing Distal Myopathy - MPD1 (MYH7)",MY_MYH7_DMY,mpd1_cm,,,,,,,,,
MY,MYH7,MSM,Hyaline Body Myopathy ,MY_MYH7_MSM,hyaline_body_cm,,,,,,,,,
MY,MYO18B,NM,Klippel-Feil syndrome with Nemaline myopathy and facial dysmorphism - KFS4 (MYO18B),MY_MYO18B_NM,kfs4_myo18b_nm,,,,,,,,,
MY,MYO18B,NM,Nemaline Myopathy with Cardiomyopathy (MYO18B),MY_MYO18B_NM,myo18b_cardio_nm,,,,,,,,,
MY,MYOT,,Spheroid Body Myopathy ,MY_MYOT_,spheroid_body_rm,,,,,,,,,
MY,MYOT,MFM,MYOT related Myofibrillar Myopathy (formerly LGMD1A),MY_MYOT_MFM,myot_mfm_lgmd1a,,,,,,,,,
MY,MYPCN,,Compton-North Congenital Myopathy (MYPCN) ,MY_MYPCN_,mypcn,,,,,,,,,
MY,NEB,NM,NEB Related Core Rod ,MY_NEB_NM,neb_cr,,,,,,,,,
MY,RYR1,,RYR1 Related CCD,MY_RYR1_,ccd_ryr1,,,,,,,,,
MY,RYR1,,RYR1 Related CNM,MY_RYR1_,cnm_ryr1,,,,,,,,,
MY,RYR1,,Dusty Core Disease (RYR1),MY_RYR1_,ryr1_dusty_core,,,,,,,,,
MY,RYR1,,RYR1 Related MMD,MY_RYR1_,ryr1_mmd,,,,,,,,,
MY,RYR1,,Exertional Myalgia with or without Rhabdomyolysis (RYR1),MY_RYR1_,ryr1_myalgia,,,,,,,,,
MY,RYR1,,RYR1 Related Disorders,MY_RYR1_,ryr1_rd,,,,,,,,,
MY,RYR1,,RYR1 Related Myopathy,MY_RYR1_,ryr1_rm,,,,,,,,,
MY,RYR1,CCD,Central Core Disease - CCD (RYR1),MY_RYR1_CCD,ryr1_ccd,,,,,,,,,
MY,RYR1,CFTD,Congenital Fiber Type Disproportion - CFTD (RYR1),MY_RYR1_CFTD,ryr1_cftd,,,,,,,,,
MY,RYR1,CNM,Centronuclear Myopathy (RYR1),MY_RYR1_CNM,ryr1_cnm,,,,,,,,,
MY,RYR1,MHS1,Malignant Hyperthermia susceptibility - MHS1 (RYR1),MY_RYR1_MHS1,ryr1_mhs1,,,,,,,,,
MY,RYR3,,Myopathy with nemaline bodies (RYR3),MY_RYR3_,ryr3_nm,,,,,,,,,
MY,SELENON,,Desmin-Related Myopathy with Mallory Bodies ,MY_SELENON_,desmin_cm,,,,,,,,,
MY,SELENON,,Desmin-Related Myopathy with Mallory Bodies (SELENON) ,MY_SELENON_,selenon_desmin,,,,,,,,,
MY,SELENON,,SELENON/SEPN1 Related MMD,MY_SELENON_,selenon_mmd,,,,,,,,,
MY,SELENON,,SELENON Related Disorders (previously known as SEPN1),MY_SELENON_,selenon_rd,,,,,,,,,
MY,SELENON,,SELENON Related Myopathy (aka SEPN1),MY_SELENON_,selenon_rm,,,,,,,,,
MY,SELENON,,Rigid Spine Syndrome - RSS/RSMD1 (SELENON),MY_SELENON_,selenon_rsmd1,,,,,,,,,
MY,SELENON,CFTD,Congenital Fiber Type Disproportion - CFTD (SELENON) ,MY_SELENON_CFTD,seleonon_cftd,,,,,,,,,
MY,SELENON,MMD,Multiminicore Disease (SELENON) ,MY_SELENON_MMD,selenon_mmd,,,,,,,,,
MY,SYNE1,,Nesprin Related CMD (SYNE1),MY_SYNE1_,syne1_nesprin,,,,,,,,,
MY,TPM2,,TPM2 Related Cap,MY_TPM2_,cap_tpm2,,,,,,,,,
MY,TPM2,,"Arthrogryposis, distal, type 1A - DA1A (TPM2)",MY_TPM2_,tpm2_da1a_nm,,,,,,,,,
MY,TPM2,,"Arthrogryposis, distal, type 2B - DA2B (TPM2)",MY_TPM2_,tpm2_da2b_nm,,,,,,,,,
MY,TPM2,CAP,Cap myopathy - CAPM2 (TPM2),MY_TPM2_CAP,tpm2_capm2_nm,,,,,,,,,
MY,TPM3,,TPM3 Related Cap,MY_TPM3_,cap_tpm3,,,,,,,,,
MY,TPM3,CAP,Cap myopathy - CAPM1 (TPM3),MY_TPM3_CAP,tpm3_capm1_nm,,,,,,,,,
MY,TTN,,TTN related CNM ,MY_TTN_,cnm_ttn,,,,,,,,,
MY,TTN,,LGMDR10 - Titin (TTN) related (formerly LGMD2J),MY_TTN_,lgmdr10_ttn,,,,,,,,,
MY,TTN,,Titinopathy ,MY_TTN_,titinopathy_rd,,,,,,,,,
MY,TTN,,Autosomal dominant myopathy with proximal muscle weakness and early respiratory (TTN) ,MY_TTN_,ttn_ad_cm,,,,,,,,,
