label,clinical_dx_code
Multiminicore Disease (SELENON) ,selenon_mmd
Multiminicore disease (TTN) ,ttn_mmd
Multiminicore Myopathy/Multiminicore Disease ,mmd_rd
Multiple Structured Core Disease (MsCD) ,mscd_rd
"Muscle-Eye-Brain Disease (MEB, MDDGA14)",adg_meb
"Myasthenia gravis, familial infantile - FIMG ",cms_fimg
"Myasthenic syndrome, congenital - CMS1D",cms_1d
"Myasthenic syndrome, congenital, Ie, included - CMS1E",cms_1e
"Myasthenic syndrome, fast-channel congenital - FCCMS ",cms_fc
"Myasthenic syndrome, presynaptic, congenital, with or without motor neuropathy - MYSPC ",cms_myspc
"Myasthenic syndrome, slow-channel congenital - SCCMS ",cms_sc
Myofibrillar Myopathy - MFM ,mfm_rd
Myopathy proximal to ophthalmoplegia (MYH2),myh2_ophthal
"Myopathy with joint contractures, ophtalmoplegia, and rimmed vacuoles - IBM3 (MYH2)",myh2_ibm3
Myopathy with nemaline bodies (RYR3),ryr3_nm
Myosin Storage Congenital Myopathy (MYH7),myh7_cm
Myosin Storage Myopathy ,myh7_cm
MYOT related Myofibrillar Myopathy (formerly LGMD1A),myot_mfm_lgmd1a
"Myotubular Myopathy, X-linked - XLMTM/MTM1",cnm_mtm1
NEB Related Core Rod ,neb_cr
Nemaline Myopathy ,nm_rd
Nemaline Myopathy with Cardiomyopathy (MYO18B),myo18b_cardio_nm
Nesprin Related CMD (SYNE1),syne1_nesprin
None of these ,none
Reducing Body Myopathy ,reducing_body_cm
Rigid Spine Syndrome - RSS/RSMD1 (SELENON),selenon_rsmd1
RYR1 Related CCD,ccd_ryr1
RYR1 Related CNM,cnm_ryr1
RYR1 Related Disorders,ryr1_rd
RYR1 Related MMD,ryr1_mmd
RYR1 Related Myopathy,ryr1_rm
"Salih myopathy, (Congenital myopathy with fatal cardiomyopathy) ",ttn_salih
SELENON Related Disorders (previously known as SEPN1),selenon_rd
SELENON Related Myopathy (aka SEPN1),selenon_rm
SELENON/SEPN1 Related MMD,selenon_mmd
Spheroid Body Myopathy ,spheroid_body_rm
Telethonin CMD (TCAP) ,tcap_telethonin
"Tibial muscular dystrophy, tardive - TMD (TTN) ",ttn_tmd
Titin Related Dilated Cardiomyopathy - CMD1G,ttn_dcm_1g
Titin Related Myopathy ,ttn_rm
Titinopathy ,titinopathy_rd
TPM2 Related Cap,cap_tpm2
TPM3 Related Cap,cap_tpm3
TTN related CNM ,cnm_ttn
TTN Related MMD ,ttn_mmd
Tubular Aggregate Myopathy ,tubular_aggregate_cm
Ullrich CMD - UCMD ,col6_ullrich
Unknown ,unknown
Walker Warburg Syndrome (WWS) ,adg_wws
X-linked myopathy with excessive autophagy (XMEA/MEAX) ,xmea
Zebra Body Disease ,zebra_body_cm
